index,contest-tmp2m-14d__tmp2m
375734,29.010732589248313
375735,29.041181157375206
375736,29.037581252407392
375737,29.14931541459537
375738,29.197569274150194
375739,29.05279547773933
375740,29.00489535272974
375741,28.865032688514038
375742,28.8931762224196
375743,28.907642142516742
375744,28.852562276922658
375745,29.061458964932754
375746,28.73426965573789
375747,28.510130592993427
375748,28.28979943700187
375749,28.328834796641562
375750,28.080919527694547
375751,27.882091202235912
375752,27.476691198653953
375753,27.026768217591513
375754,26.87782018697608
375755,27.008046842552393
375756,26.83322148069049
375757,26.617036066863992
375758,26.242363985689984
375759,26.010344970445416
375760,25.98123497669671
375761,26.236002409823023
375762,26.41139250649451
375763,26.355447011803193
375764,26.450979564812123
375765,26.522041455663405
375766,26.65732504455178
375767,26.813228669616624
375768,26.95213041593422
375769,26.908441648836465
375770,26.996833810397078
375771,26.74748475526162
375772,26.612432304356222
375773,26.575379195885077
375774,26.573556162774047
375775,26.482302352963977
375776,26.135798801890196
375777,25.74928657253716
375778,25.548969307253913
375779,25.272988586711925
375780,24.963933941889266
375781,24.744326418709072
375782,24.616829105049817
375783,24.468481377261547
375784,24.21184207437887
375785,24.382527649670102
375786,24.194716159880475
375787,24.05690259911386
375788,23.72099775098535
375789,23.286044655911493
375790,22.60820357672519
375791,22.1438918599632
375792,21.78401470060576
375793,21.128041725465522
375794,20.313640688163527
375795,29.116572441320944
375796,29.090800458775004
375797,29.10598832448046
375798,29.233398108397285
375799,29.324099286869085
375800,29.05192369093328
375801,28.95268720442956
375802,28.8238636440098
375803,28.77407987928438
375804,28.72279019409921
375805,28.880458472034093
375806,28.837879770443358
375807,28.791226660839456
375808,28.687991278783688
375809,28.518860998395766
375810,28.585955696509767
375811,28.33237788132911
375812,27.98203445363571
375813,27.71683389002905
375814,27.286856794911806
375815,27.27836611010988
375816,27.155188763279224
375817,26.940090164556818
375818,26.73081455505448
375819,26.45058159826366
375820,26.061529389437048
375821,25.849370237984253
375822,25.847161687079247
375823,26.114826485334337
375824,26.221462228650864
375825,26.229610015770163
375826,26.255588100445234
375827,26.38615982154844
375828,26.570618493009746
375829,26.74939010201866
375830,26.811719700365654
375831,26.857432528442224
375832,26.549070348327092
375833,26.508457386506365
375834,26.43945688227065
375835,26.49179669009574
375836,26.399371391212256
375837,26.052733371786058
375838,25.539140037902737
375839,25.361998092402015
375840,25.017929485418748
375841,24.736559530680776
375842,24.446393501768277
375843,24.202657036743894
375844,24.105019408836526
375845,24.1400302352166
375846,24.411306710007086
375847,24.25684337455449
375848,24.045862568798505
375849,23.75342871313734
375850,23.427249320999405
375851,22.846179281845274
375852,22.478610799999974
375853,22.200987021855475
375854,21.53490989038503
375855,20.864415956969463
375856,29.253144134901778
375857,29.194390326632558
375858,29.22123998997419
375859,29.321643679968446
375860,29.340213851675035
375861,29.300977309067214
375862,29.27725533385346
375863,29.213804999635446
375864,29.00323896959797
375865,29.034251557801344
375866,29.10915433432491
375867,29.219089582250078
375868,28.814535062308472
375869,28.56467453796453
375870,28.450616614716857
375871,28.32706536491757
375872,28.071327020307663
375873,27.89561086907442
375874,27.572098691073013
375875,27.214978654930903
375876,26.93881223091075
375877,26.852300512095002
375878,26.703976437344572
375879,26.570062435233055
375880,26.176516636968948
375881,25.863496802297146
375882,26.162089424181513
375883,26.225812327303483
375884,26.35151763094357
375885,26.279445684533247
375886,26.274233334701325
375887,26.426535089052475
375888,26.699725423561127
375889,26.948512110159744
375890,27.18169741237325
375891,27.134416246247987
375892,27.197013592281596
375893,26.880043573219265
375894,26.786848692918266
375895,26.778923272537522
375896,26.89834993075246
375897,26.827313612266096
375898,26.493741311075205
375899,25.953072130002315
375900,25.863795512036646
375901,25.537951862143856
375902,25.246973820581303
375903,24.963787779722594
375904,24.74297763240486
375905,24.600225628829243
375906,24.57246976516089
375907,24.660855137322486
375908,24.44250773278447
375909,24.281842631130225
375910,23.91825483445253
375911,23.33382427233908
375912,22.607473071647878
375913,21.991393349749295
375914,21.398045145502014
375915,20.613769784205246
375916,19.93355518243638
375917,28.742057380085427
375918,28.759033949197956
375919,28.789302900861706
375920,28.864166393381723
375921,28.887788543554088
375922,28.745897602250658
375923,28.640091457451497
375924,28.566792529259107
375925,28.44708862526893
375926,28.40424472364099
375927,28.498828044938758
375928,28.58012287754852
375929,28.41209393632901
375930,28.200145967583442
375931,28.131092520922756
375932,28.052609296652307
375933,27.760533284388337
375934,27.553820405976566
375935,27.190010234151266
375936,26.861510338398478
375937,26.532703799015096
375938,26.500499034516274
375939,26.36352589604874
375940,26.123314637807916
375941,25.84987012043426
375942,25.44083950465857
375943,25.47561800481362
375944,25.535831351413133
375945,25.694529698434412
375946,25.61504499112921
375947,25.596691222315652
375948,25.800833306841575
375949,26.012802507772196
375950,26.295622659576402
375951,26.50187440515643
375952,26.47855209620265
375953,26.546688541296557
375954,26.302798690464325
375955,26.288162564299984
375956,26.26204688330307
375957,26.31088719458825
375958,26.209262098933014
375959,25.822248889345406
375960,25.392588220843862
375961,25.276266088042863
375962,24.830862765769275
375963,24.60737541654664
375964,24.282495903094134
375965,24.08569741249904
375966,23.896918407003923
375967,23.867642297103824
375968,24.129149530197992
375969,23.905852207122237
375970,23.69941843983023
375971,23.430637009253736
375972,22.949988243132584
375973,22.453344953291897
375974,21.88603417370138
375975,21.386272513481313
375976,20.628559396470816
375977,19.86886558451572
375978,28.72505319423733
375979,28.68078310431433
375980,28.743821437412823
375981,28.777042290187396
375982,28.76300108774847
375983,28.69087102551041
375984,28.630705446145527
375985,28.488481183778692
375986,28.41206663305877
375987,28.38391685573316
375988,28.52089176476366
375989,28.63717980116895
375990,28.47121816322732
375991,28.260768541803998
375992,28.087982516195172
375993,28.1295606754315
375994,27.771338694478853
375995,27.426751670674804
375996,27.254272331474915
375997,26.832847190369257
375998,26.724936943173844
375999,26.655771598968556
376000,26.408482233377022
376001,26.182110100302772
376002,25.994419017851495
376003,25.611038935975607
376004,25.499308527034927
376005,25.463065619710914
376006,25.503732363519834
376007,25.527830220501237
376008,25.63847603104104
376009,25.797981403031528
376010,25.959604472696807
376011,26.23196158504838
376012,26.45470338072944
376013,26.43806940099724
376014,26.474498774004193
376015,26.367290778194956
376016,26.23618819396276
376017,26.181519678859026
376018,26.251989720979438
376019,26.023141430077345
376020,25.639068876056182
376021,25.101293154149605
376022,24.822938316090625
376023,24.537387353491702
376024,24.31226749422128
376025,24.12454162258812
376026,23.958995729927942
376027,23.726747149359618
376028,23.639431785112865
376029,23.79575782665219
376030,23.799481976284493
376031,23.61706042012522
376032,23.288012208474044
376033,22.866290125298292
376034,22.456263454004777
376035,22.06048234410772
376036,21.756008278821113
376037,21.223153409133936
376038,20.521037250414068
376039,29.307852797017972
376040,29.304583107528764
376041,29.309643133929214
376042,29.40282152789422
376043,29.41753645542074
376044,29.5012804094311
376045,29.525280752725855
376046,29.419264160465964
376047,29.288585773439088
376048,29.197019186632744
376049,29.24890315389352
376050,29.36108267759082
376051,29.02565190178161
376052,28.77941477953809
376053,28.74989725835117
376054,28.696302265405713
376055,28.478634942383305
376056,28.274113202982488
376057,27.912342977988494
376058,27.5105423636952
376059,27.148011486973743
376060,26.997203762170003
376061,26.939386506474488
376062,26.802358602731275
376063,26.410440469079255
376064,26.10342151552829
376065,26.286638997672807
376066,26.570573466461518
376067,26.50573925812465
376068,26.59607135895451
376069,26.501277622241265
376070,26.69035577613012
376071,27.007699342764468
376072,27.30269962484546
376073,27.4154961954713
376074,27.458363084608457
376075,27.36798331940327
376076,26.969891508829388
376077,26.85104506049249
376078,26.8662786195283
376079,26.923245014044674
376080,26.846324253841132
376081,26.4568880249188
376082,26.1601093191478
376083,26.05333742767063
376084,25.84088068787169
376085,25.54380047615683
376086,25.19260426249494
376087,24.993906985868698
376088,24.694436517196568
376089,24.67761808491398
376090,24.64019397908749
376091,24.487881850754416
376092,24.234879872989442
376093,23.835886183237285
376094,23.330512949929556
376095,22.564192903317362
376096,21.731597543052583
376097,21.003913771042463
376098,20.193037079909654
376099,19.40915797246073
376100,29.13730395787867
376101,29.052827629992667
376102,29.070417609064478
376103,29.199915607277028
376104,29.17171982954718
376105,29.202706339792876
376106,29.20039877186533
376107,29.133386595654635
376108,28.920952438568133
376109,28.917782569594053
376110,28.965388136402638
376111,29.121303267706836
376112,28.86687730106433
376113,28.552499627996404
376114,28.483859817173855
376115,28.405350178326337
376116,28.115092296801873
376117,28.021710918839684
376118,27.697294275702763
376119,27.082349092085593
376120,26.825484523604956
376121,26.862218504238594
376122,26.842981154022468
376123,26.648982759665586
376124,26.3111698206241
376125,25.966453940657463
376126,26.07126520144726
376127,26.22174564253003
376128,26.254526966994433
376129,26.213818498431866
376130,26.232109792090757
376131,26.380067212870745
376132,26.67343384349157
376133,26.965101407571378
376134,27.15285157940935
376135,27.14251962796014
376136,27.133393121122886
376137,26.837566873043542
376138,26.68263527192599
376139,26.642637767237087
376140,26.70519461865301
376141,26.632480064503554
376142,26.305223196805613
376143,25.88512226982647
376144,25.75305115906185
376145,25.47153103755363
376146,25.20973765894072
376147,24.891793092666127
376148,24.52382634194261
376149,24.391015462190918
376150,24.256398734348227
376151,24.369035446128333
376152,24.179823915818563
376153,23.999731320764532
376154,23.662992507713263
376155,23.104191898901455
376156,22.41504822422305
376157,21.663646849621472
376158,20.866448481913782
376159,20.24180541724939
376160,19.497808595441825
376161,28.234924602251493
376162,28.169324290321498
376163,28.21978530339442
376164,28.34994887798137
376165,28.36966361722537
376166,28.27326539047117
376167,28.2652354563089
376168,28.21270317683649
376169,28.039736343033834
376170,28.053753690114764
376171,28.109653531387096
376172,28.264428232710184
376173,28.057426355184262
376174,27.73850539542357
376175,27.684950731568534
376176,27.569673354256178
376177,27.368333788228064
376178,27.187045820956847
376179,26.781482889375518
376180,26.384156959913554
376181,26.054020290439784
376182,26.043161177189962
376183,26.05507134790085
376184,25.81329066812016
376185,25.45510176997373
376186,25.20291695930654
376187,25.10586211877873
376188,25.317147032029887
376189,25.138017776170898
376190,25.380031149481603
376191,25.27116659335009
376192,25.378955718901484
376193,25.670536346441096
376194,26.02758764233338
376195,26.196895616566316
376196,26.239098900710978
376197,26.22375244428145
376198,25.933511549004237
376199,25.766591416278395
376200,25.774685362434717
376201,25.809312613043097
376202,25.707841286859296
376203,25.31234117336613
376204,24.974786587332915
376205,24.86448511653193
376206,24.527903846419385
376207,24.207083065076187
376208,23.947746231577028
376209,23.775161829895218
376210,23.655497092398505
376211,23.54744193073523
376212,23.5988494061236
376213,23.5337304189282
376214,23.250217158050102
376215,22.95788857816091
376216,22.397392536743688
376217,21.76899340001042
376218,21.041363259966925
376219,20.43702978745338
376220,19.786403235532603
376221,18.980859931278708
376222,27.90809247859811
376223,27.969617849333133
376224,27.994874818049645
376225,28.048570178170262
376226,28.0549462769958
376227,28.113274659093026
376228,27.980495796090942
376229,27.82585149563138
376230,27.71425703594327
376231,27.785334575243596
376232,27.84758348535001
376233,27.99744775426408
376234,27.87493945770929
376235,27.731502026268455
376236,27.53207843331366
376237,27.58651900595409
376238,27.327864623219064
376239,27.01146636354862
376240,26.736667070372878
376241,26.37859888687045
376242,26.0325200579021
376243,25.925167113054183
376244,25.935696761580346
376245,25.552044064084157
376246,25.27476824392933
376247,25.01885037152508
376248,24.740473962158358
376249,24.700061096445506
376250,24.7690896456732
376251,24.8266962062713
376252,24.697343165396227
376253,24.847826434653477
376254,25.163075364774137
376255,25.45752528091988
376256,25.808351779545607
376257,25.817987350312148
376258,25.75590789450028
376259,25.58890202292208
376260,25.4472486738685
376261,25.422587623325718
376262,25.510175641779377
376263,25.27897373308752
376264,24.8279450493977
376265,24.343614962533046
376266,24.083472363454177
376267,23.899462567331092
376268,23.655887807133738
376269,23.413842323770503
376270,23.15466701851087
376271,22.93318221473539
376272,22.874500896277894
376273,23.0372417784559
376274,23.00079527140678
376275,22.85675703075437
376276,22.42598562969239
376277,22.074781000654667
376278,21.631035569938646
376279,21.272287780939205
376280,20.856070142331678
376281,20.201460049707975
376282,19.532175484263355
376283,27.961807693270504
376284,28.04169895579992
376285,28.042408448844455
376286,28.089841536559973
376287,28.04167469431227
376288,27.960480722595168
376289,27.9146058448313
376290,27.82847216201268
376291,27.698762950164625
376292,27.727681371044536
376293,27.758248756263335
376294,27.922262805123307
376295,27.820296312803944
376296,27.57338717994317
376297,27.336303885608654
376298,27.34335990826661
376299,27.204310321640182
376300,26.86734148237242
376301,26.556168167339735
376302,26.254790557003886
376303,25.917979556395622
376304,25.802798668609164
376305,25.722803010507484
376306,25.4622003016083
376307,25.259754411555548
376308,24.937775688763544
376309,24.688846024607166
376310,24.72951855989166
376311,24.725307226286034
376312,24.655090982711712
376313,24.69122077441687
376314,24.805369188137025
376315,25.114531976985575
376316,25.437070885214407
376317,25.591365942089915
376318,25.679948194523945
376319,25.633069843764012
376320,25.523521375744828
376321,25.35900993014077
376322,25.30416498646158
376323,25.35567608478902
